,precision,recall,f1-score,support
BENIGN,0.9996299311671971,0.9992243640381756,0.9994271064579424,419011.0
Bot,0.7938388625592417,0.8589743589743589,0.8251231527093597,390.0
DDoS,0.9999609375,0.9998437683084014,0.9999023494717106,25603.0
DoS GoldenEye,0.9946393762183235,0.9922216820612543,0.9934290581650036,2057.0
DoS Hulk,0.9985524449205292,0.9977436431484856,0.9981478801909999,34569.0
DoS Slowhttptest,0.9923809523809524,0.9961759082217974,0.9942748091603053,1046.0
DoS slowloris,0.9962616822429906,0.989786443825441,0.9930135072193759,1077.0
FTP-Patator,1.0,0.9991568296795953,0.9995782370307887,1186.0
Heartbleed,1.0,0.5,0.6666666666666666,2.0
Infiltration,1.0,1.0,1.0,7.0
PortScan,0.9897363105312005,0.9994487016924858,0.9945687952600395,18139.0
SSH-Patator,1.0,1.0,1.0,644.0
Web Attack � Brute Force,0.8185654008438819,0.6598639455782312,0.7306967984934086,294.0
Web Attack � Sql Injection,1.0,0.25,0.4,4.0
Web Attack � XSS,0.46596858638743455,0.6846153846153846,0.5545171339563862,130.0
accuracy,0.9987127076973733,0.9987127076973733,0.9987127076973733,0.9987127076973733
macro avg,0.9366356323167835,0.8618036686762406,0.8766230329854658,504159.0
weighted avg,0.9987732683173723,0.9987127076973733,0.9987286201646699,504159.0
