,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack � Brute Force,Web Attack � Sql Injection,Web Attack � XSS
BENIGN,418686,87,1,4,40,4,0,0,0,0,187,0,1,0,1
Bot,55,335,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,4,0,25599,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,10,0,0,2041,6,0,0,0,0,0,0,0,0,0,0
DoS Hulk,71,0,0,6,34491,0,0,0,0,0,1,0,0,0,0
DoS Slowhttptest,0,0,0,0,0,1042,4,0,0,0,0,0,0,0,0
DoS slowloris,5,0,0,0,0,4,1066,0,0,0,0,0,1,0,1
FTP-Patator,0,0,0,0,0,0,0,1185,0,0,0,0,0,0,1
Heartbleed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Infiltration,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
PortScan,3,0,0,0,4,0,0,0,0,0,18129,0,2,0,1
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,644,0,0,0
Web Attack � Brute Force,2,0,0,0,0,0,0,0,0,0,0,0,194,0,98
Web Attack � Sql Injection,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Web Attack � XSS,3,0,0,0,0,0,0,0,0,0,0,0,38,0,89
