Feature,Importance
Bwd Packet Length Std,0.06287709745161024
Max Packet Length,0.0623590091535331
Packet Length Variance,0.05868061852459666
Bwd Packet Length Mean,0.05817383025156189
Packet Length Mean,0.0552681966242968
Average Packet Size,0.05210881094718163
Total Length of Fwd Packets,0.04771202737822691
Bwd Packet Length Max,0.03735832533721927
Destination Port,0.03589823950975041
Fwd Packet Length Max,0.03389119232130335
Bwd Header Length,0.033772069227033436
Flow IAT Max,0.03294268618044956
Init_Win_bytes_backward,0.030929037290881634
Total Fwd Packets,0.027406084169117557
Fwd IAT Std,0.026952825741963587
act_data_pkt_fwd,0.023738149272360117
Fwd Packet Length Mean,0.02279348668622955
Bwd Packet Length Min,0.021563686973002368
PSH Flag Count,0.021485907105468022
Fwd Header Length,0.021390237175090497
Fwd IAT Min,0.021172400756305478
ACK Flag Count,0.019365389206660897
min_seg_size_forward,0.01803804359573012
Bwd Packets/s,0.017614868924121153
Init_Win_bytes_forward,0.017036208610474893
Flow Duration,0.013118220238661464
Fwd IAT Mean,0.012866536264285244
Flow IAT Mean,0.011495976254268812
Flow IAT Std,0.011478029861870475
Flow Bytes/s,0.008585205916407353
Bwd IAT Min,0.008246603037892599
Flow Packets/s,0.007709448464096875
Min Packet Length,0.0075902264129209755
Flow IAT Min,0.0069899183651529395
Fwd Packet Length Min,0.006172367596474331
Bwd IAT Std,0.00616774900978624
Active Max,0.005874857105538778
Bwd IAT Max,0.005776701182323537
Bwd IAT Mean,0.005351897819047942
Bwd IAT Total,0.004015748720198428
Active Min,0.003912019731163921
URG Flag Count,0.0031439696276149925
FIN Flag Count,0.0023427092562624445
Down/Up Ratio,0.002103838757023132
Active Mean,0.0018464227974937747
Fwd PSH Flags,0.001402274020325194
Active Std,0.0012839973752770456
Idle Std,0.0011868541715176254
SYN Flag Count,0.0008044384851854967
CWE Flag Count,4.405363780870956e-06
Fwd URG Flags,6.387763079365699e-07
RST Flag Count,4.286853424290401e-07
ECE Flag Count,8.828960998717536e-08
